Poster,Post Count,Mean Votes,Mean Comments,Total Votes,Total Comments,Posts With Comments Count,Conversations Sparked,Is USVer,Ever USVer,Percent Of Posts With Comments,Relation To USV
aweissman,452,3.23,1.52,1461,687,194,45,True,True,0.43,Current USVer
fredwilson,542,3.43,1.46,1860,791,209,43,True,True,0.39,Current USVer
nickgrossman,295,3.18,2.19,939,647,127,37,True,True,0.43,Current USVer
albertwenger,143,3.76,2.97,537,424,56,19,True,True,0.39,Current USVer
bwats,99,3.28,1.9,325,188,36,15,False,True,0.36,Former USVer
jmonegro,178,2.47,0.87,440,154,57,11,True,True,0.32,Current USVer
BradUSV,94,2.78,1.24,261,117,14,10,True,True,0.15,Current USVer
libovness,89,2.21,1.58,197,141,32,9,True,True,0.36,Current USVer
br_ttany,79,2.95,0.91,233,72,21,6,True,True,0.27,Current USVer
AlexanderPease,49,3.57,1.53,175,75,19,3,False,True,0.39,Former USVer
christinacaci,17,3.88,2.53,66,43,8,3,False,True,0.47,Former USVer
garychou,18,8.89,4.0,160,72,9,3,False,True,0.5,Former USVer
johnbuttrick,33,3.03,1.42,100,47,14,2,True,True,0.42,Current USVer
EricFriedman,5,2.8,0.0,14,0,0,0,False,True,0.0,Former USVer
ceonyc,5,0.0,0.0,0,0,0,0,False,True,0.0,Former USVer
