poster,post_count,mean_votes,mean_comments,total_votes,total_comments,posts_with_comments_count,conversations_sparked,is_usver,ever_usver,percent_of_posts_with_comments
10Xspotting,1,1.0,0.0,1,0,0,0,False,False,0.0
2lr,9,4.11,0.11,37,1,1,0,False,False,0.11
ADVenet,1,1.0,0.0,1,0,0,0,False,False,0.0
AbhilashAthreya,2,2.0,0.0,4,0,0,0,False,False,0.0
Active_me,3,1.0,0.0,3,0,0,0,False,False,0.0
AdrianLurssen,119,2.18,0.71,259,85,30,5,False,False,0.25
AkrimRed,8,0.75,0.0,6,0,0,0,False,False,0.0
Alacra,1,2.0,2.0,2,2,1,0,False,False,1.0
AlertChef,1,1.0,0.0,1,0,0,0,False,False,0.0
AlexBangash,4,2.5,0.0,10,0,0,0,False,False,0.0
AlexCapecelatro,1,1.0,0.0,1,0,0,0,False,False,0.0
AlexanderPease,49,3.57,1.53,175,75,19,3,False,True,0.39
AlleyWatch,1,1.0,0.0,1,0,0,0,False,False,0.0
Alternate1985,1,2.0,0.0,2,0,0,0,False,False,0.0
AndreDeMarre,1,1.0,1.0,1,1,1,0,False,False,1.0
AndrewDumont,2,5.5,0.5,11,1,1,0,False,False,0.5
AndrewMohebbi,1,1.0,0.0,1,0,0,0,False,False,0.0
AndySwan,4,3.25,2.5,13,10,4,0,False,False,1.0
AnthonyFrasier,3,1.67,1.33,5,4,1,0,False,False,0.33
AnujAdhiya,247,1.48,0.21,365,52,26,2,False,False,0.11
Armando_Iandolo,1,1.0,0.0,1,0,0,0,False,False,0.0
AustinLAC,2,2.5,8.0,5,16,1,1,False,False,0.5
BJTStevens,1,1.0,0.0,1,0,0,0,False,False,0.0
BTrautschold,5,3.4,0.4,17,2,2,0,False,False,0.4
BalaInIceland,55,1.2,0.15,66,8,6,0,False,False,0.11
Banderollexpert,1,1.0,0.0,1,0,0,0,False,False,0.0
BeingPractical,3,1.0,0.0,3,0,0,0,False,False,0.0
BenedictEvans,13,4.46,2.08,58,27,5,2,False,False,0.38
BetaFeed_,1,8.0,0.0,8,0,0,0,False,False,0.0
BobTroia,2,2.0,0.5,4,1,1,0,False,False,0.5
Bonanzinga,5,2.4,0.4,12,2,2,0,False,False,0.4
BootstrapNYC,2,1.5,0.0,3,0,0,0,False,False,0.0
Borentra,1,2.0,1.0,2,1,1,0,False,False,1.0
BradUSV,94,2.78,1.24,261,117,14,10,True,True,0.15
BrienBuckman,2,1.0,0.0,2,0,0,0,False,False,0.0
Brodlist,1,1.0,4.0,1,4,1,0,False,False,1.0
Bryan_Weis,1,2.0,0.0,2,0,0,0,False,False,0.0
Burnsey,17,3.88,6.18,66,105,10,5,False,False,0.59
BuyintoBitcoin,1,1.0,0.0,1,0,0,0,False,False,0.0
CSinirlioglu,1,0.0,0.0,0,0,0,0,False,False,0.0
CcalSD,1,1.0,0.0,1,0,0,0,False,False,0.0
